Gene	CNA	Freq	chromosome	start	end	strand	Cancer_type
A2ML1	AMP	6	12	8822621.00	8887001.00	77	Testicular_Germ_Cell_Tumors
A4GNT	AMP	6.8	3	138123713.00	138132390.00	3	Cervical_Squamous_Cell_Carcinoma
A4GNT	AMP	6	3	138123713.00	138132390.00	3	Esophageal_Adenocarcinoma
AACSP1	AMP	7.3	5	178764861.00	178818435.00	3	Renal_Clear_Cell_Carcinoma
AADAC	AMP	8.2	3	151814073.00	151828488.00	77	Cervical_Squamous_Cell_Carcinoma
AADAC	AMP	11	3	151814073.00	151828488.00	77	Esophageal_Adenocarcinoma
AADAC	AMP	9.1	3	151814073.00	151828488.00	77	Head_and_Neck_Squamous
AADACL2	AMP	8.2	3	151733916.00	151761339.00	77	Cervical_Squamous_Cell_Carcinoma
AADACL2	AMP	11	3	151733916.00	151761339.00	77	Esophageal_Adenocarcinoma
AADACL2	AMP	9.3	3	151733916.00	151761339.00	77	Head_and_Neck_Squamous
AADACL2-AS1	AMP	8.2	3	151751443.00	151928175.00	3	Cervical_Squamous_Cell_Carcinoma
AADACL2-AS1	AMP	11	3	151751443.00	151928175.00	3	Esophageal_Adenocarcinoma
AADACL2-AS1	AMP	9.5	3	151751443.00	151928175.00	3	Head_and_Neck_Squamous
AADACP1	AMP	8.2	3	151770396.00	151784945.00	77	Cervical_Squamous_Cell_Carcinoma
AADACP1	AMP	11	3	151770396.00	151784945.00	77	Esophageal_Adenocarcinoma
AADACP1	AMP	9.3	3	151770396.00	151784945.00	77	Head_and_Neck_Squamous
AAMDC	AMP	9.8	11	77821109.00	77918432.00	77	Serous_Ovarian_Cancer
AAR2	AMP	8.1	20	36236131.00	36270918.00	77	Colorectal_Adenocarcinoma
AARD	AMP	9.3	8	116938207.00	116944487.00	77	Esophageal_Adenocarcinoma
AARD	AMP	10.6	8	116938207.00	116944487.00	77	Liver_Hepatocellular_Carcinoma
AARD	AMP	21.5	8	116938207.00	116944487.00	77	Serous_Ovarian_Cancer
AARS2	AMP	8.8	6	44298731.00	44313347.00	3	Esophageal_Adenocarcinoma
ABCA10	AMP	6	17	69147214.00	69244846.00	3	Breast_Invasive_Ductal_Carcinoma
ABCB10	AMP	8.6	1	229516582.00	229558707.00	3	Breast_Invasive_Ductal_Carcinoma
ABCB10	AMP	6.8	1	229516582.00	229558707.00	3	Liver_Hepatocellular_Carcinoma
